personaLabel	genderLabel	age	coord	articolo
Adriano Prosperi	maschio	80	Point(10.8771 43.7617)	https://it.wikipedia.org/wiki/Adriano_Prosperi
Adriano Sansa	maschio	79	Point(13.833333333 44.866666666)	https://it.wikipedia.org/wiki/Adriano_Sansa
Adriano Savio	maschio	72	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Adriano_Savio
Adriano Sofri	maschio	77	Point(13.804166666 45.636111111)	https://it.wikipedia.org/wiki/Adriano_Sofri
Adriano Teso	maschio	74	Point(9.67 45.695)	https://it.wikipedia.org/wiki/Adriano_Teso
Adriano Varrica	maschio	37	Point(13.361262 38.115658)	https://it.wikipedia.org/wiki/Adriano_Varrica
Adriano Vignali	maschio	78	Point(10.633333333 44.7)	https://it.wikipedia.org/wiki/Adriano_Vignali
Adriano Zaccagnini	maschio	37	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Adriano_Zaccagnini
Adua Del Vesco	femmina	25	Point(15.55 38.183333333)	https://it.wikipedia.org/wiki/Adua_Del_Vesco
Agata Flori	femmina	81	Point(10.18 36.800833333)	https://it.wikipedia.org/wiki/Agata_Flori
Agata Ruscica	femmina	71	Point(15.087269444 37.502669444)	https://it.wikipedia.org/wiki/Agata_Ruscica
Agatino Licandro	maschio	65	Point(15.65 38.114438888)	https://it.wikipedia.org/wiki/Agatino_Licandro
Agazio Loiero	maschio	79	Point(16.916666666 39.15)	https://it.wikipedia.org/wiki/Agazio_Loiero
Aglauco Casadio	maschio	99	Point(11.883333333 44.285555555)	https://it.wikipedia.org/wiki/Aglauco_Casadio
Agnese Nano	femmina	54	Point(12.482777777 41.893055555)	https://it.wikipedia.org/wiki/Agnese_Nano
Agostina Belli	femmina	72	Point(9.190336 45.464161)	https://it.wikipedia.org/wiki/Agostina_Belli
Agostino De Romanis	maschio	72	Point(12.783333333 41.666666666)	https://it.wikipedia.org/wiki/Agostino_De_Romanis
Agostino Formica	maschio	73	Point(16.0 38.316666666)	https://it.wikipedia.org/wiki/Agostino_Formica
Agostino Ghiglia	maschio	54	Point(7.7 45.066666666)	https://it.wikipedia.org/wiki/Agostino_Ghiglia
Agostino Mantovani	maschio	82	Point(10.65 45.15)	https://it.wikipedia.org/wiki/Agostino_Mantovani
Agostino Saccà	maschio	75	Point(16.016666666 38.35)	https://it.wikipedia.org/wiki/Agostino_Sacc%C3%A0
